@ Raw Phidget data, non zeroed, avg constant, then zeroed.
X Axis, Y Axis, Z Axis, X Avg, Y Avg, Z Avg, X Zeroed, Y Zeroed, Z Zeroed
-0.3273,0.05539,-0.44623,-0.225902,0.0424094,-0.25949,-0.3273,0.05539,-0.44623,
-0.01511,-0.0705,-0.14763,-0.225902,0.0424094,-0.25949,-0.01511,-0.0705,-0.14763,
-0.28198,0.13092,-0.1275,-0.225902,0.0424094,-0.25949,-0.28198,0.13092,-0.1275,
-0.02518,0.54886,-0.32209,-0.225902,0.0424094,-0.25949,-0.02518,0.54886,-0.32209,
-0.11078,-0.13092,-0.13085,-0.225902,0.0424094,-0.25949,-0.11078,-0.13092,-0.13085,
-0.34241,-0.21149,-0.24157,-0.225902,0.0424094,-0.25949,-0.34241,-0.21149,-0.24157,
-0.27191,0.09064,-0.36571,-0.225902,0.0424094,-0.25949,-0.27191,0.09064,-0.36571,
-0.6546,0.3978,-0.54353,-0.225902,0.0424094,-0.25949,-0.6546,0.3978,-0.54353,
-0.34241,-0.03021,-0.28519,-0.225902,0.0424094,-0.25949,-0.34241,-0.03021,-0.28519,
-0.2417,-0.07553,-0.30532,-0.225902,0.0424094,-0.25949,-0.2417,-0.07553,-0.30532,
-0.27695,0.01511,-0.38249,-0.225902,0.0424094,-0.25949,-0.27695,0.01511,-0.38249,
-0.41794,-0.01007,-0.30196,-0.225902,0.0424094,-0.25949,-0.41794,-0.01007,-0.30196,
-0.16113,-0.08057,0,-0.225902,0.0424094,-0.25949,-0.16113,-0.08057,0,
-0.01007,0.1561,-0.0671,-0.225902,0.0424094,-0.25949,-0.01007,0.1561,-0.0671,
-0.29205,0.03525,-0.11743,-0.225902,0.0424094,-0.25949,-0.29205,0.03525,-0.11743,
-0.31219,-0.1712,-0.36236,-0.225902,0.0424094,-0.25949,-0.31219,-0.1712,-0.36236,
-0.45319,0.05035,-0.57708,-0.225902,0.0424094,-0.25949,-0.45319,0.05035,-0.57708,
-0.42801,-0.12589,-0.37913,-0.225902,0.0424094,-0.25949,-0.42801,-0.12589,-0.37913,
-0.41794,-0.03525,-0.2315,-0.225902,0.0424094,-0.25949,-0.41794,-0.03525,-0.2315,
-0.3273,-0.01511,0,-0.225902,0.0424094,-0.25949,-0.3273,-0.01511,0,
-0.06546,0.2417,-0.37913,-0.225902,0.0424094,-0.25949,-0.06546,0.2417,-0.37913,
-0.12589,0.27191,-0.07046,-0.225902,0.0424094,-0.25949,-0.12589,0.27191,-0.07046,
-0.36255,0.02518,-0.18453,-0.225902,0.0424094,-0.25949,-0.36255,0.02518,-0.18453,
-0.54886,0.06546,-0.09394,-0.225902,0.0424094,-0.25949,-0.54886,0.06546,-0.09394,
-0.24673,0.16113,-0.24828,-0.225902,0.0424094,-0.25949,-0.24673,0.16113,-0.24828,
-0.34744,0.09064,-0.27848,-0.225902,0.0424094,-0.25949,-0.34744,0.09064,-0.27848,
-0.28198,-0.05035,-0.41604,-0.225902,0.0424094,-0.25949,-0.28198,-0.05035,-0.41604,
-0.26688,0.16617,-0.30196,-0.225902,0.0424094,-0.25949,-0.26688,0.16617,-0.30196,
